,0
168,Once we have a sequence of parse trees for a question and that of an answer how can we match these sequences A number of studies compute pairwise similarity between parse trees Collins and Duffy  Punyakanok et al  Moschitti  However to rely upon discourse structure of paragraphs and to avoid dependence on how content is distributed through sentences we represent the whole paragraphs of questions and answers as a single graph To determine how good is an answer for a question we match their respective PTs and assign a score to the size of common subPTr
169,We extend the syntactic relations between the nodes of the syntactic dependency parse trees towards more general text discourse relations Once we have such relations as “the same entity “subentity “superentity and anaphora we can extend the notion of phrase to be matched between texts In case of single sentences we match noun verb and other types of phrases in questions and answers In case of multiple sentences in each we extend the notion of phrases so that they are independent of how information being communicated is split into sentences Relations between the nodes of parse trees which are other than syntactic can merge phrases from different sentences or from a single sentence which are not syntactically connected We will refer to such extended phrases as thicket phrasesr
170,If words X and Y are connected by a coreference relation an index needs to include the chain of words X XX YY Y where chains X XX and YY Y are already indexed phrases including X and Y Hence establishing coreferences is important to extend index in a way to improve search recall Usually keywords from different sentences can only be matched with query keywords with a low score high score is delivered by intersentence matchr
171,Definition  Thicket phrases for a pair of parse treesr
172,If we have two parse trees  and  of text  and an arc for a relation rP→ P  between the nodes P and P we can now match of  against a phrase of a single sentence or a merged phrases of multiple sentences from r
173,An example of building a thicket phrase by linking two trees is shown in Fig  A thicket phrase can be thought as beginning from a phrase in one sentence then jumping to the tree for another sentence and continuing the phraser
174,Although the generalization is defined as the set of maximal common subgraphs its computation is based on matching phrases To generalize a pair of sentences we perform chunking and extract all noun verb prepositional and other types of phrases from each sentence Then we perform generalization for each type of phrases attempting to find a maximal common subphrase for each pair of phrases of the same type The resultant phraselevel generalization can then be interpreted as a set of paths in resultant common subtrees Galitsky et al r
175,Generalization of parse thickets being a maximal common subparse thicket can be computed at the level of phrases as well as a structure containing maximal common subphrases However the notion of phrases is extended now thicket phrases can contain regular phrases from different sentences The way these phrases are extracted and formed depends on the source of nonsyntactic link between words in different sentences thicket phrases are formed in a different way for communicative actions and RST relations Notice that the set of regular phrases for a parse thicket is a subset of the set of thicket phrases all phrases extracted for generalization Because of this richer set of phrases for generalization the parse thicket generalization is richer than the pairwise thicket generalization and can better tackle variety in phrasings and writing styles as well as distribution of information through sentencesr
176,We will now outline the algorithm of forming thicket phrases Most categories of thicket arcs will be illustrated below r
177,Fig  An arc which connects two parse trees for two sentences in a text on the top and the derived set of extended trees on the bottom r
178,Form a list of previous sentences in a paragraph Sprevr
179,If this word is a pronoun find all nouns or noun phrases in the Sprev which arer
180,If this word is a noun find all nouns or noun phrases in the Sprev which are r
181,Form the phrase for its subject VBCAphrase including its verb phrase Vphr
182,Find a preceding communicative action VBCAphrasefrom Sprev with its subject r
183,and form a thicket phrase VBCAphrase VBCAphraser
184,Form the phrase for the pair of phrases which are the subjects VBRSTphrase r
185,VBRSTphrase of this RST relation VBRSTphrasebelongs to Sprevr
186,Figs and show examples of Parse Thickets for the above paragraphs In addition to syntactic links between words in a sentence words in a paragraph are connected with links of the different nature To form a complete formal representation of a paragraph we attempt to express as many links as possible The most obvious links are the same entities which is a partial case of coreferences A less trivial tasks is to identify a subentity relation; an external resource needs to be consulted In Fig we have a subentity link IAEA → UN The fact that the former is a subentity in this case suborganization is either obtained by using lookups available as a part of generalpurpose NLP system like OpenNLP Stanford NLP Lee at al  GATE LingPipe and others or using web mining of sites like Wikipedia Freebase and others In more complex cases such as multiwords more complex web mining settings are required such as Velásquez et al  Galitsky et al r
187,The communicative links reflect the discourse structure associated with participation or mentioning of more than single agent in text The links form a sequence connecting the words for communicative actions either verbs or multiwords implicitly indicating a communicative intent of a person We have thoroughly investigated the structure of how communicative actions occur in text in our study of argumentation in customer complaints which is one of the most complicated cases of communicative actionsbased discourse Galitsky et al  r
188,The main observation concerning communicative actions in relation to finding text similarity is that their subjects need to be generalized in the context of these actions and that they should not be generalized with other “physical actions Hence we generalize the individual occurrences of communicative actions together with their subjects as well as their pairs as discourse “steps Generalization of communicative actions can also be thought from the standpoint if matching the verb frames such as VerbNet Palmer  For a communicative action we distinguish an actor one or more agents being acted upon and the phrase describing the features of this action In the next section we will illustrate how respective arguments of verbs are generalizedr
189,Notice the three categories of the formed thicket phrasesr
190,Once we collected the thicket phrases for texts Tand T we can do the generalization When we generalize thicket phrases from various categories the following constraints should be taken into account Table  r
191,Table  Which phrase types can be generalized with each otherr
192,For example entitybased thicket phrase can be generalized with regular phrases but with neither RST nor SpActTr
193,Fig  Three instances of common subPTs are shown as connected cloudsr
194,In Section we defined and showed how to construct PTs We also introduced generalization of individual parse trees Based on that in this section we introduce generalization of PTs which is based on generalization of individual parse trees on one hand and on generalization of discourse structures on the other hand For coreferences and entityentity type of relation we link them and consider the nodes in PT identical  For RST we attempt to extract an RST relation and form a thicket phrase around it including a placeholder for RST relation itself Galitsky et al  For SpActT we use a vocabulary of communicative actions to find their subjects Galitsky & Kuznetsov  add respective arcs to PT and form the respective sequence of thicket phrasesr
195,Two connected clouds on the right of Figshow the generalization instance based on RST relation “RCTevidence This relation occurs between the phrases r
196,evidenceforwhat  Iran’s nuclear weapon program and whathappenswithevidence Fabricated by USA on the rightbottom and r
197,evidenceforwhat against Iran’s nuclear development and whathappenswithevidence Fabricated by the USA on the righttopr
198,Notice that in the latter case we need to merge perform anaphora substitution the phrase ‘ its nuclear development’  with ‘evidence against it’ to obtain ‘evidence against its nuclear development’  Notice the arc it  development according to which this anaphora substitution occurred Evidence is removed from the phrase because it is the indicator of RST relation and we form the subject of this relation to match Furthermore we need another anaphora substitution  its Iran to obtain the final phraser
199,As a result of generalizations of two RST relations of the same sort evidence we obtainr
200,Iran nuclear NNP  – RSTevidence – fabricate by USAr
201,Notice that we could not obtain this similarity expression by using sentencelevel generalizationr
202,Green clouds at indicate the subPTs of  Tand Twhich are matched We show three instances of PT generalizationr
203,Definition  RSTtypephrase ^ RST typephrase   RST typeᴗ phrase^ phraser
204,when typetype otherwise  Notice that the relation itself is retained to be further generalized if requiredr
205,Communicative actions are used by text authors to indicate a structure of a dialogue or a conflict Searle  Hence analyzing the communicative actions’ arcs of PT one can find implicit similarities between texts We can generalizer
206,one communicative actions from with its subject from Tagainst another communicative action with its subject from Tcommunicative action arc is not used ;r
207,a pair of communicative actions with their subjects from Tagainst another pair of communicative actions from Tcommunicative action arcs are used r
208,In our example we have the same communicative actions with subjects with low similarityr
209,condemn  ‘Iran for developing second enrichment site in secret’ vs condemn ‘the work of Iran on nuclear weapon’  or different communicative actions with similar subjects r
210,Looking on the left bottom of Fig one can observe two connected clouds the two distinct communicative actions dispute and condemn have rather similar subjects ‘work on nuclear weapon’ Generalizing two communicative actions with their subjects follows the rule generalize communicative actions themselves and ‘attach’ the result to generalization of their subjects as regular subtree generalization Two communicative actions can always be generalized which is not the case for their subjects if their generalization result is empty the generalization result of communicative actions with these subjects is empty too The generalization result here for the case above isr
211,Generalizing two different communicative actions Fig  is based on their attributes and is presented elsewhere Galitsky et al r
212,condemn  second uranium enrichment site    ↔    proceed develop an enrichment site in secret r
213,suggest Iran is secretly working on nuclear weapon ↔ condemn the work of Iran on nuclear weaponr
214,condemn  second uranium enrichment site    ↔  condemn the work of Iran on nuclear weaponr
215,suggest Iran is secretly working on nuclear weapon ↔  proceed develop an enrichment site in secret r
216,gives zero result because the arguments of condemn from Tand Tare not very similar Hence we generalize the subjects of communicative actions first before we generalize communicative actions themselvesr
217,Fig A fragment of PT showing the mapping for the pairs of communicative actionsr
218,We conclude the section by definition of generalization for a pair of CAs and also for a pair of pairs of CAsr
219,Definition  CAtypephrase ^ CAtypephrase   CAtype CAtypephrase^ phrase r
220,We have shown how to compute similarity between PTs via phrases That was an approximation of finding similarity between two graphs considering their selected paths which correspond to phrases Now we focus on information lossfree approach where we compute similarity between two graphs in a classical linguistic domainindependent way Similarity between graphs is measured by the size of the maximal common subgraph Koch r
221,To find maximal subPT we use a reduction of the maximal common subgraph problem to the  maximal clique problem Moon and  Moser  Bron and Kerbosch  by constructing the edge product The main difference with the traditional edge product is that instead of requiring the same label for two edges to be combined we require nonempty generalization results for these edges Though computationally not optimal this approach is convenient for prototyping Although for the trees this problem is On for the general case of graphs finding maximum common subgraphs is NP hard Kann  r
222,We construct an edge product PT Let  and  be PTs with nodes V and edges E where  is a function assigning labels to the vertices and L is a finite nonempty set of labels for the edges and vertices The edge product PT  includes the vertex set  in which all edge pairs with and  have to produce nonempty generalization in their edge labels Also these edge pairs must produce nonempty generalizations in their corresponding end vertex labels Let  and  The labels coincide if  and  and r
223,There is an edge between vertices  where  and  if two edge pairs are compatible meaning that they are distinct and  Also either condition for these edges of resultant PT should holdr
224,in  are connected via a vertex of the label which produces nonempty generalization with the label of the vertex shared by in  We label and call them cedges orr
225,and are not adjacent in  and in  respectively We label and call them dedgesr
226,To get a common subPT in  and  each edge pair in  and  vertex pair in  has to have generalizable label with all other edge pairs in  and  vertex pair in  which are forming a common subgraph In this way a clique in  corresponds to common subPTs  and r
227,A subset of vertices of G is said to be a clique if all its nodes are mutually adjacent A maximal clique is one which is not contained in any larger clique while a maximum clique is a clique having largest cardinality Vismara and Valery  After finding all maximal cliques for all pairs representing question and answer for instance we look through all results and range them due to cliques cardinality In this case the more edge pairs the result of generalization of two paragraphs contains the higher the relevance between two portions of text isr
228,Applying some effective taking into account specific features of thicket graphs approaches to common subgraph problem is a subject of our future work Also we are going to use more complex types of generalization such as pattern structures Ganter and Kuznetsov  instead of pairwise generalization The clique problem is the computational problem of finding a maximum clique or all cliques in a given graph which is NPcomplete one of Karps NPcomplete problems Karp  We build the edge product algorithm for PT case ouselves and integrated it with the available solution for the click problem of JGraphT library r
229,After finding all maximal common subgraph for all pairs representing question and answer for instance we rank results according to the score based on size of common substructure and its linguistic properties Each part of speech has its own score calculated from seacrch engine statisticsr
230,Application of PT generalization for search occurs according to the following scenario For the question and candidate answer we build a pair of PTs Then we perform generalization of PTs either without loss of information finding a maximum common PT subgraph or with the loss of information approximating the paths of resultant subgraph by generalizing thicket phrases Search relevance score is computed accordingly as  a total number of vertexes in a common maximum subgraph in the first case and calculating the number of words in maximal common subphrases taking into account weight for parts of speech Galitsky et al  in the second case This scenario will be evaluated in details in the section to followr
231,The system architecture is depicted in Fig  There are three system components which include Parse Thicket building phraselevel processing and graph processingr
232,The textual input is subject to a conventional text processing flow such as sentence splitting tokenizing stemming partofspeech assignment building of parse trees and coreferences assignment for each sentence This flow is implemented by either OpenNLP or Stanford NLP and the parse thicket is built based on the algorithm presented in this paper The coreferences and RST component strongly relies on Stanford NLP’s rulebased approach to finding correlated mentions based on the multipass sievesr
233,The graphbased approach to generalization relies on finding maximal cliques for an edge product of the graphs for PTs being generalized As it was noticed earlier the main difference with the traditional edge product is that instead of requiring the same label for two edges to be combined we require nonempty generalization results for these edges Hence although the parse trees are relatively simple graphs parse thicket graphs reach the limit of realtimes processing by graph algorithmsr
234,The system architecture serves as a basis of OpenNLP – similarity component which is a separate Apache Software foundation project accepting input from either OpenNLP or Stanford NLP It converts parse thicket into JGraphT httpjgraphtorg objects which can be further processed by an extensive set of graph algorithms In particular finding maximal cliques is based on Bron and Kerbosch  algorithm Code and libraries described here are also available at httpsvnapacheorgreposasfopennlpsandboxopennlpsimilarity The system is ready to be plugged into Lucene library to improve search relevance Also a SOLR request handler is provided so that search engineers can switch to a PTbased multisentence search to quickly verify if relevance is improvedr
235,The second and third components are two different ways to assess similarity between two parse thickets Phraselevel processing for the phrases of individual sentences has been described in detail in our previous studies Galitsky et al  In this study we collect all phrases for all sentences of one paragraph of text augment them with thicket phrases linguistic phrases which are merged based on the intersentence relation and generalize against that of the other paragraph of textr
236,Find communicative actions and set relations between them and their subjectsr
237,Find rhetoric markers and form rhetoric structure relationsr
238,Obtain thickets phrases by merging ones from distinct sentencesr
239,For two sets of thicket phrases select a pair of phrases Align them and find a maximal common subphraser
240,Remove subphrases from the list of resultant phrasesr
241,Form edges of the PT graph by combining parse tree edges and coref SpAct & RST arcsr
242,Form all nodes of parse trees for individual sentences as the nodes of the PT graphr
243,For two graphs build a set of nodes for the edge product graph for all pairs of edges from PT graphs which can be generalizedr
244,Calculate the score for maximal common subgraphs based on cliquesr
245,Fig  Architecture of Parse Thicket processing systemr
246,PTs and their generalizations are important for domainindependent text relevance assessment We propose a number of evaluation scenarios to compare the relevance performance of PTsupported search and its various forms of reduction We demonstrate that simplifying construction of PT discarding one or another linguistic feature we lose relevance We also compare the performance of complete PTsupported search with other stateoftheart question answering systems dealing with multisentence queries and or multisentence questionsr
247,In our earlier studies we explored the following cases for how generalization supports question answeringr
248,· Single sentence question against single sentence answer Galitsky et al r
249,· Single sentence question against multiple sentences in the answer by pairwise generalization and summing up the score Galitsky et al r
250,We will reevaluate these cases in the unified framework to compare the results with the focus of the current paper paragraphsized question against a paragraphsized answer or its snippetr
251,In this section we demonstrate that pairwise sentence generalization approach lacking discourse features can be outperformed by PT approachr
252,Having formed a pair of PTs for question and answer we will comparer
253,· Pairwise sentencesentence generalization ignoring intersentence links versus full PT generalizationr
254,· Phrasebased approximation of  generalization versus finding maximum common subparse thicketsr
255,· Contribution of two sources of discourse structure RST and SpActT for search relevancer
256,· Role of PTsupported search for various domain from product search to socialr
257,In terms of complexity of queries and answers we will proceed from single sentences queriesanswers to multiple sentences queriesanswersr
258,We conducted evaluation of relevance of syntactic generalization – enabled search engine based on Bing search engine APIs Instead of maintaining search index ourselves for the purpose of evaluation we relied on Bing index and baseline search relevance In terms of reproducibility of the experimental results in this study since we measure a relative relevance improvement compared to Bing’s baseline once we have a fixed publically available set of queries it is acceptable From Bing search results we get page titles snippets and also extract paragraphs of text from the original webpager
259,For an individual query the relevance was estimated as a percentage of correct hits among the first thirty using the values correct marginally correct incorrect compare with Resnik and Lin  Accuracy of a single search session is calculated as the percentage of correct search results plus half of the percentage of marginally correct search results Accuracy of a particular search setting query type and search engine type is calculated averaging through search sessionsr
260,For our evaluation we use customers’ queries to eBay entertainment and productrelated domains from simple questions referring to a particular product a particular user need as well as a multisentence forumstyle request to share a recommendation In our evaluation we split the totality of queries into nounphrase class verbphrase class howto class and also independently split in accordance to query length from keywords to multiple sentences The evaluation was conducted by the authors  To compare the relevance values between search settings we used first search results obtained for a query by Bing API and then reranked them according to the score of the given search setting syntactic generalization scorer
261,The list of products which serves the basis of queries is available at httpscodegooglecomprelevancebasedonparsetreesdownloadsdetailnameQueriesetxls We took each product and found a posting somewhere on the web typically a blog or forum posting about this product requesting a particular information or addressing a particular user feature need or concern From such extended expression containing product names we formed the list queries of desired complexityr
262,To estimate the statistical significance of results of relevance improvement we estimate the standard deviation  of  the difference between the baseline average relevance and the one obtained by a particular reranking For the evaluation set of search sessions for both baseline and AFPsupported search we haver
263,To do that we assume that the search accuracy can be described by a normal distribution and the number of searches is large enough Kohavi  r
264,Pairwise sentence generalization for questionanswer similarityr
265,There are a number of limitations in how the modern search engines attempt to find the occurrence of query keywords in a single sentence in a candidate search results If it is not possible or has a low search engine score multiple sentences within one document are used However modern search engines have no means to determine if the found occurrences of query keywords are related to each other related to the same entity Our first evaluation setting the pairwise matching of parse tree for questions and answers addressing this issue and showing that once parse trees are taken into account in addition to keywords relevance is increasing In our previous studies we already demonstrated this fact and in this project we repeat this evaluation setting to conform to the consecutive ones based on PTsr
266,Table shows the search relevance evaluation results for singlesentence answers   The first and second columns show the types of phrasessentences serving as queries The third column shows the baseline Bing search relevancy The fourth and fifth columns shows relevance of reranked search for snippets and original paragraphs from the webpage and the sixth column shows relevance improvement compared with the baseliner
267,One can observe that the higher the query complexity the higher the impact of generalization for question and answer for reranking For the simplest queries there is no improvement For  keywords phrases improvement starts being noticeable of  and reaches  and  for twothree sentence queries respectively As the absolute precision of search naturally drops when queries become more complex relative contribution of syntactic generalization increasesr
268,In most cases using original text is slightly better than using snippets by about  except the case of the simple queries In the case of  keywords the use of generalization is unreasonable so the results can be even distorted and reranking by generalization score is not meaningfulr
269,Table  Evaluation of pairwisesentence generalization searchr
270,Relevancy of baseline Bing search  averaging over searchesr
271,Relevancy of resorting by pairwise sentence generalization with snippets  averaging over searchesr
272,Relevancy of resorting by pairwise sentence generalization with text on original page  averagingr
273,Relevancy  improvement resorted relevance for Bingr
274,We did not find a significant correlation between a query type phrase type and search performance with and without syntactic generalization for these types of phrases Verb phrases in questions did well for multisentence queries perhaps because the role of verbs for such queries is more significant than for simpler queries where verbs can be frequently ignoredr
275,Single sentence query and answer distributed through multiple sentencesr
276,It is hard for modern search engines to determine for a given occurrence of keywords being in different sentences if they are related to each other and are related to the query term Once we establish links between words in different sentences it should help in determining how these words are potentially connected with the query keywords We will evaluate this observation in this sectionr
277,Relevance improvement for the queries ranging from a few keywords to a whole sentence is shown in Table  One can see that the simplest cases of short query and a single compound sentence gives about  improvement PTbased relevance improvement stays within  as query complexity increases by a few keywords and then increases to  as query becomes a whole sentence For the same query complexity naturally search accuracy decreases when more sentences are required for answering this query However contribution of PTs does not vary significantly with the number of sentences the answer occurs in one two  or three  PTsupported search outperforms the pairwise generalizationsupported search for the similar setting of  complex phrase to one sentence query Table rows  by  r
278,We separately measure search relevance when PT is samesubsuperentity  based coreferencesbased  RSTbased and SpActTbased columns  Our hybrid approach includes all these sources for links altogether column  We consider all cases of questions phrase one two and three sentences and all cases of search results occurrences compound sentence two and three sentences and measured how PT improved the search relevance compared to original search results of Bing r
279,We found that contribution of intersentence links decreases in the following order coreferences r
280,samesubsuperentity  RST and SpActT for simpler queries and samesubsuperentity  SpActT r
281,coreferences  RST for the full sentence queries; the deviation between their contribution is within a percent or two What is visible is that all of these sources of discourse information  in a standalone mode improve the relevance hence their hybrid is indeed required for overall PTsupported search This conclusion is made taking into account that these sources are independent relevance improvers since they are based on mechanisms and linguistic theories of totally different naturesr
282,Table  Search improvement results for PT approach single sentence query and multisentence answerr
283,Relevancy of resorting by PT generalization based on coreferences r
284,Relevancy of resorting by PT generalization based on samesubsuperentity  r
285,Relevancy of resorting by PT generalization based on RST  r
286,Relevancy of resorting by  PT generalization based on SpActT  r
287,Relevancy of resorting by hybrid coreferenceentityRSTSpActT forest generalization  r
288,Relevancy improvement for  PT approach comp to baseliner
289,We proceed to evaluation of how generalization of PTs can improve multisentence search where one needs to compare a query as a paragraph of text against a candidate answer as a paragraph of text snippet Evaluation results show the accuracies in percentages averaging over searches r
290,When the query complexity increases from one sentence to four sentences the contribution of PT increases from  for a single sentence to  for double sentence and then to  for triple sentence and stays the same for four sentences in the query Although as queries become more complicated overall drop of PTsupported relevance is not lower than the respective drop of baseline relevance the significance of the relevance improvement is obvious Table r
291,We observe that contribution of intersentence links decreases in the following order SpActT  coreferences samesubsuperentity  and RST and for two sentence queries and SpActT RST coreferences and samesubsuperentity Hence for longer queries and answers the role of discourse theories is higher than that of for simpler queries where coreferences and samesubsuperentity turned out to be more importantr
292,RST for the full sentence queries; the deviation between their contribution is within a percent or twor
293,Table  Relevancy improvement for query and answers as paragraphsr
294,Phrasebased and graphbased implementation of generalizationr
295,Once we know that we should leverage all available discourserelated information for better search relevance we investigate various approaches to generalization computation and also explore performance in various domains where search is associated with multisentence questions and multisentence answers Moreover for each domain and queryanswer complexity once we obtain search results from Bing Search API we either take its snippet or download the original webpage and extract the respective paragraph to form its PTr
296,Three domains are used in evaluation in this section Table  r
297,Product recommendation where a user explicitly or implicitly according to a belief of an automated agent is requesting information about products This agent finds a chat and determines user intent from text analyzing epistemic states of this user and mention that this user is seeking a productrelated recommendation The input for such the recommendation is a few sentences of text Given this input a search request is sent to Bing Blogs and Forums and candidate recommendations are filtered out in terms of relevance by PT generalization The data is collected from eBaycom and StubHubcomr
298,Travel recommendation where an agent reads chats about travel activities things to do and hotels The agent tracks travel chats forums blogs and trip reports and produces recommendation when requested or when user intent is detectedThe data was collected at UpTakecom acquired by Grouponcomr
299,Facebook automated posting agent which issues posts on  behalf of its human host For the purpose of promoting social activity and enchance communications with the friends other than most close ones this agent is authorized to comment on postings images videos and other media Given one or more sentence of user posting or image caption this agent issues a Bing Web and Bing Blogs APIs search request and filters the results for relevance Experiments with Facebook account were conducted using OpenGraph involving a number of personal accounts Fig r
300,Fig  The Facebook agent is posting a message on behalf of its human host This message is obtained from Bing Blogs API and is supposed to be relevance unlike the most of Facebook ads on the rightr
301,The value of PT based generalization varies from domain to domain significantly mostly depending on the writing style and use of terminology by the authors presenting their opinions on the products When things in a domain are named uniquely and the typical writing style is plain enumeration of product features contribution of PT is the least shopping product domains On the contrary where writing styles vary a lot and different people name the same things differently in such horizontal domain as Facebook the baseline relevance is low the resultant relevance is lower  than in the other domains  r
302,One can see that contribution of SpAct source varies from domain to domain In product and travel recommendations its contribution is low about  At the same time in the Facebook domain where the description of interaction between people do occur its contribution reaches r
303,Proceeding from Snippets to original paragraphs in a webpage gives further  increase for both thicket phrasebased and graphbased computation of PTr
304,Graphbased algorithms Bunke et al  Conte et al  for PT generalization are associated with much higher complexity than phrase based At the same time loss of information for a phrase base approach leads to less than  drop in the resultant relevance Hence we select the phrasebased approach to PT generalization as most efficientr
305,Table  Evaluation results for various search domains and for various implementations of PT generalizationr
306,Relevance of baseline Bing search  averaging over searchesr
307,Relevance of  PTphrase  generalization search  averaging over searches using original text without SpAtcTr
308,Relevance of  PTphrase generalization search  averaging over searches using snippetsr
309,Relevance of  PTphrase generalization search  averaging over searches using original textr
310,Relevance of  PT graph generalization search  averaging over searches using snippetsr
311,Relevance of  PT graph generalization search  averaging over searches using original textr
312,Comparison of search performance with other studiesr
313,In this section we evaluate the search task which is not specific to the given study but constitutes a standard testbed for question answering systems We obtained a list of entitybased queries some of which require an answer contained in multiple sentences The evaluation set of questions was obtained from r
314,We took queries from this list and converted into short phrases longer phrases and extended by  sentences to match the above evaluation cases There are also search sessions per query answer typesr
315,These search evaluation settings for Table were inspired by TREC  whose goal was to perform entityoriented search tasks on the web Many user information needs concern entities people organizations locations products etc which are better answered by returning specific objects instead of just any type of documents  Like Trec Entity track we used normalized Discounted Cumulative Gain NDCG the normalized discounted cumulative gain at rank R the number of primary and relevant search results for that topic where primary pages get gain and relevant pages get gain  This is unlike our previous evaluation settingsr
316,The intuition behind the Discounted Cumulative Gain approach is that highly relevant documents appearing lower in a search result list should be penalized as the graded relevance value is reduced logarithmically proportional to the position of the result The discounted CG accumulated at a particular rank positionxa0xa0is defined asr
317,Where relis the relevance of the first result and  reli  is the relevance of the consecutive  results i< Dividing the obtained DCG by the DCG of the ideal ranking we obtain a normalized DCGr
318,TREC evaluation was conducted in a similar environment relying on Bing Yahoo and other web knowledge sourcesr
319,In the example search result Fig  PTsupported search reranks the snippets to find the entity occurring in an expression ENTITY is  <query with substituted WHword> In most cases ENTITY occurs in a different sentence to the one which is best matched with <query with substituted WHword>r
320,Fig  Bing search results for the entitybased query with expected answer “Michelangelo’s Pieta“ obtained by APFsupported searchr
321,Relevancy of baseline Yahoo search NDCGR averaging over searchesr
322,Relevancy of baseline Bing search NDCGR averaging over searchesr
323,Relevancy of resorting by pairwise sentence generalization NDCGR averaging over searchesr
324,Relevancy of resorting by hybrid RSTSpActT forest generalization NDCGR averaging over searchesr
325,Relevancy improvement for  parse forest approach comp to pairwise generalizationr
326,We compare the results of PTbased search with that of the TREC Entity Track participants Table  The best teams BIT Jiang et al  and FDWIM had slightly higher relevance NDCG  and  respectively and the rest of the teams including Purdue NiCT  ICTNET and  UWaterlooEng obtained a lower relevance compared to APFbased approach Balog et al  In the current study for the hybrid RSTSpActT forest generalization approach we obtained NDCG     for sentence answers sentence answers and sentence answers respectively It worth mentioning that the above approaches are oriented at answering entitybased questions whereas the current approach targets the cases where found keywords are distributed through multiple sentenced in the search result snippet This evaluation covers the overlap of these two cases and we believe PT performance is satisfactory herer
327,For the entity based search from the TREC Entity Track queries the improvement of search by using PT and especially RST is higher than for the search in Section  for both short and long queries This is due to the fact that entitybased questions take advantage of the coreferences and RST relations such as elaboration which are typical in the paragraphs of text answering entitybased questions Since both short and long entitybased phrases heavily rely on the coreferences and RST there is a relatively uniform improvement of search accuracy compared to the search in previous evaluation subsections where PT contribution for more complicated questions is higherr
328,Over the past few years complex questions have been the focus of much attention in the automatic questionanswering community Most current complex QA evaluations included the AQUAINT Relationship QA Pilot the TREC Relationship QA Task and the TREC entity task Jiang et al  whose results we compared to ours and Document Understanding Conference DUC These evaluations require systems to return unstructured lists of candidate paragraphlength answers in response to a complex question that are responsive relevant and coherent For the DUC settings Chali et al  reports  improvement from  to  of parse tree similarity based approach over keywordbased lexical for the Kmeans framework Cahel et al  which roughly corresponds to our improvement of single sentence generalizationbased search over the baseline Section  r
329,Moschitti and Quarteroni  report the accuracy Fmeasure on the TRECQA dataset of  ±  for a bagofwords classifier and  ±  for the optimal combination of tree kernels If one reranks deteriorates search engine search results by keyword occurrence only and then compare with the APF performance a similar performance would be observed Singlesentence generalization relies on similar linguistic information about questions and answering as tree kernel and APF extension becomes noticeable compared to commercial search engine results rather than bagofwords systemsr
330,General pattern structures consist of objects with descriptions called patterns that allow a semilattice operation on them Ganter & Kuznetsov  In our case for paragraphs of text to serve such objects they need to be represented by structures like parse thickets which capture both syntactic level and discourselevel information about texts Pattern structures arise naturally from ordered data eg from labeled graphs ordered by graph morphisms  In our case labeled graphs are parse thickets and morphisms are the mappings between their maximal common subgraphs Besides finding maximal common subgraph PTs can be viewed from the standpoint of graph search problem For example Mandow   describes a new general algorithm for graph search problems with additive lexicographic goals The use of lexicographic goals in the formulation of search problems provides greater control and expressive power over the properties of solution paths in the algorithm called METALANr
331,One of the first systems for the generation of conceptual graph representation of text is described in Sowa and Way  It uses a lexicon of canonical graphs that represent valid possible relations between concepts These canonical graphs are then combined to build a conceptual graph representation of a sentence Since then syntactic processing has dramatically improved delivering reliable and efficient results  PTs can be viewed as conceptual graphs which are derived automatically from Concept mining has found a number of applications as well Bichindaritz & Akkineni r
332,Hensman & Dunnion  describes a system for constructing conceptual graph representation of text by using a combination of existing linguistic resources VerbNet and WordNet However for practical applications these resources are rather limited whereas syntactic level information such as syntactic parse trees is readily available Moreover building conceptual structure from individual sentences is not as reliable as building these structures from generalizations of two and more sentences r
333,In this study we attempt to approach conceptual graph level Sowa  Polovina & Heaton  using pure syntactic information such as syntactic parse trees and applying learning to it to increase reliability and consistency of resultant semantic representation The purpose of such automated procedure is to tackle information extraction and knowledge integration problems usually requiring deep natural language understanding Galitsky  and cannot be solved at syntactic levelr
334,Whereas machine learning of syntactic parse trees for individual sentences is an established area of research the contribution of this paper is a structural approach to learning of syntactic information at the level of paragraphs A number of studies applied machine learning to syntactic parse trees Collins & Duffy  convolution kernels being the most popular approach Haussler  Parse tree kernels are also used for plagiarism detection r
335,Harabagiu et al  introduce a new paradigm for processing complex questions that relies on a combination of question decompositions based on a Markov chain factoid QA techniques and multidocument summarization The Markov chain is implemented by following a random walk with a mixture model on a bipartite graph of relations established between concepts related to the topic of a complex question and subquestions derived from topicrelevant passages that manifest these relations Decomposed questions are then submitted to a stateoftheart QA system in order to retrieve a set of passages that can later be merged into a comprehensive answer The authors show that question decompositions using this method can significantly enhance the relevance and comprehensiveness of summarylength answers to complex questions This approach does not rely on the association between concepts available for decomposed simpler questions from the commercial search engines In the current study we achieve relevance based on better match of questions to answers obtained by search engines which have learned the best matches for decomposed questions relying on user selections Hence in our evaluation settings we skip decomposition and do not do summarization achieving higher relevance by finding relevant documents among the candidate set which has been formed by search engine APIs Moreover to the best of our knowledge no approach to answering complex questions is relying on linguistic discourse theoriesr
